sampleID fatherID motherID sex
HG00325 0 0 1
HG00326 0 0 2
HG00327 0 0 2
HG00328 0 0 2
HG00329 0 0 1
HG00330 0 0 2
HG00331 0 0 2
HG00332 0 0 2
HG00334 0 0 2
HG00335 0 0 1
HG00336 0 0 1
HG00337 0 0 2
HG00338 0 0 1
HG00339 0 0 2
HG00341 0 0 1
HG00342 0 0 1
HG00343 0 0 2
HG00344 0 0 2
HG00345 0 0 1
HG00346 0 0 2
HG00349 0 0 2
HG00350 0 0 2
HG00351 0 0 1
HG00353 0 0 2
HG00355 0 0 2
HG00356 0 0 2
HG00357 0 0 2
HG00358 0 0 1
HG00360 0 0 1
HG00361 0 0 2
HG00362 0 0 2
HG00364 0 0 2
HG00365 0 0 2
HG00366 0 0 1
HG00367 0 0 2
HG00368 0 0 2
HG00369 0 0 1
HG00371 0 0 1
HG00372 0 0 1
HG00373 0 0 2
HG00375 0 0 1
HG00376 0 0 2
HG00378 0 0 2
HG00379 0 0 2
HG00380 0 0 2
HG00381 0 0 2
HG00382 0 0 1
HG00383 0 0 2
HG00384 0 0 2
HG00403 0 0 1
HG00404 0 0 2
HG00405 HG00403 HG00404 2
HG00406 0 0 1
HG00407 0 0 2
HG00408 HG00406 HG00407 2
HG00409 0 0 1
HG00410 0 0 2
HG00418 0 0 1
HG00419 0 0 2
HG00420 HG00418 HG00419 1
HG00421 0 0 1
HG00422 0 0 2
HG00423 HG00421 HG00422 2
HG00427 0 0 1
HG00428 0 0 2
HG00429 HG00427 HG00428 1
HG00436 0 0 1
HG00437 0 0 2
HG00438 HG00436 HG00437 2
HG00442 0 0 1
HG00443 0 0 2
HG00444 HG00442 HG00443 1
HG00445 0 0 1
HG00446 0 0 2
HG00447 HG00445 HG00446 2
HG00448 0 0 1
HG00449 0 0 2
HG00450 HG00448 HG00449 2
HG00451 0 0 1
HG00452 0 0 2
HG00453 HG00451 HG00452 2
HG00457 0 0 1
HG00458 0 0 2
HG00459 HG00457 HG00458 1
HG00463 0 0 1
HG00464 0 0 2
HG00465 HG00463 HG00464 1
HG00472 0 0 1
HG00473 0 0 2
HG00474 HG00472 HG00473 1
HG00475 0 0 1
HG00476 0 0 2
HG00477 HG00475 HG00476 1
HG00478 0 0 1
HG00479 0 0 2
HG00480 HG00478 HG00479 1
HG00500 0 0 1
HG00501 0 0 2
HG00502 HG00500 HG00501 1
HG00512 0 0 1
HG00513 0 0 2
HG00514 HG00512 HG00513 2
HG00524 0 0 1
HG00525 0 0 2
HG00526 HG00524 HG00525 1
HG00530 0 0 1
HG00531 0 0 2
HG00532 HG00530 HG00531 1
HG00533 0 0 1
HG00534 0 0 2
HG00535 HG00533 HG00534 1
HG00536 0 0 1
HG00537 0 0 2
HG00538 HG00536 HG00537 1
HG00542 0 0 1
HG00543 0 0 2
HG00544 HG00542 HG00543 2
HG00551 0 0 2
HG00552 HG01075 HG00551 1
HG00553 0 0 1
HG00554 0 0 2
HG00555 HG00553 HG00554 2
HG00556 0 0 1
HG00557 0 0 2
HG00558 HG00556 HG00557 2
HG00559 0 0 1
HG00560 0 0 2
HG00561 HG00559 HG00560 2
HG00565 0 0 1
HG00566 0 0 2
HG00567 HG00565 HG00566 1
HG00577 0 0 1
HG00578 0 0 2
HG00579 HG00577 HG00578 2
HG00580 0 0 1
HG00581 0 0 2
HG00582 HG00580 HG00581 2
HG00583 0 0 1
HG00584 0 0 2
HG00585 HG00583 HG00584 2
HG00589 0 0 1
HG00590 0 0 2
HG00591 HG00589 HG00590 1
HG00592 0 0 1
HG00593 0 0 2
HG00594 HG00592 HG00593 1
HG00595 0 0 1
HG00596 0 0 2
HG00597 HG00595 HG00596 2
HG00598 0 0 1
HG00599 0 0 2
HG00607 0 0 1
HG00608 0 0 2
HG00609 HG00607 HG00608 1
HG00610 0 0 1
HG00611 0 0 2
HG00612 HG00610 HG00611 2
HG00613 0 0 1
HG00614 0 0 2
HG00615 HG00613 HG00614 2
HG00619 0 0 1
HG00620 0 0 2
HG00621 HG00619 HG00620 1
HG00622 0 0 1
HG00623 0 0 2
HG00625 0 0 1
HG00626 0 0 2
HG00627 HG00625 HG00626 1
HG00628 0 0 1
HG00629 0 0 2
HG00630 HG00628 HG00629 1
HG00631 0 0 1
HG00632 0 0 2
HG00634 0 0 1
HG00635 0 0 2
HG00636 HG00634 HG00635 1
HG00637 0 0 1
HG00638 0 0 2
HG00639 HG00637 HG00638 2
HG00640 0 0 1
HG00641 0 0 2
HG00642 HG00640 HG00641 1
HG00650 0 0 1
HG00651 0 0 2
HG00652 HG00650 HG00651 2
HG00653 0 0 1
HG00654 0 0 2
HG00655 HG00653 HG00654 2
HG00656 0 0 1
HG00657 0 0 2
HG00658 HG00656 HG00657 1
HG00662 0 0 1
HG00663 0 0 2
HG00664 HG00662 HG00663 1
HG00671 0 0 1
HG00672 0 0 2
HG00673 HG00671 HG00672 1
HG00674 0 0 1
HG00675 0 0 2
HG00683 0 0 1
HG00684 0 0 2
HG00685 HG00683 HG00684 1
HG00689 0 0 1
HG00690 0 0 2
HG00691 HG00689 HG00690 1
HG00692 0 0 1
HG00693 0 0 2
HG00694 HG00692 HG00693 1
HG00698 0 0 1
HG00699 0 0 2
HG00700 HG00698 HG00699 2
HG00701 0 0 1
HG00702 HG00656 HG00657 2
HG00703 HG00701 HG00702 1
HG00704 0 0 1
HG00705 0 0 2
HG00706 HG00704 HG00705 1
HG00707 0 0 1
HG00708 0 0 2
HG00709 HG00707 HG00708 1
HG00717 0 0 2
HG00728 0 0 1
HG00729 0 0 2
HG00731 0 0 1
HG00732 0 0 2
HG00733 HG00731 HG00732 2
HG00734 0 0 2
HG00735 HG01047 HG00734 2
HG00736 0 0 1
HG00737 0 0 2
HG00738 HG00736 HG00737 1
HG00739 0 0 1
HG00740 0 0 2
HG00741 HG00739 HG00740 2
HG00742 0 0 1
HG00743 0 0 2
HG00759 0 0 2
HG00766 0 0 2
HG00844 0 0 1
HG00851 0 0 2
HG00864 0 0 2
HG00867 0 0 2
HG00879 0 0 2
HG00881 0 0 1
HG00956 0 0 2
HG00978 0 0 2
HG00982 0 0 1
HG01028 0 0 1
HG01029 0 0 2
HG01031 0 0 1
HG01046 0 0 2
HG01047 0 0 1
HG01048 0 0 1
HG01049 0 0 2
HG01050 HG01048 HG01049 2
HG01051 0 0 1
HG01052 0 0 2
HG01053 HG01051 HG01052 2
HG01054 0 0 1
HG01055 0 0 2
HG01056 HG01054 HG01055 1
HG01058 0 0 2
HG01060 0 0 1
HG01061 0 0 2
HG01062 HG01060 HG01061 2
HG01063 0 0 1
HG01064 0 0 2
HG01066 0 0 1
HG01067 0 0 2
HG01068 HG01066 HG01067 2
HG01069 0 0 1
HG01070 0 0 2
HG01071 HG01069 HG01070 2
HG01072 0 0 1
HG01073 0 0 2
HG01074 HG01072 HG01073 1
HG01075 0 0 1
HG01077 0 0 2
HG01079 0 0 1
HG01080 0 0 2
HG01081 HG01079 HG01080 2
HG01082 0 0 1
HG01083 0 0 2
HG01084 HG01082 HG01083 2
HG01085 0 0 1
HG01086 0 0 2
HG01087 HG01085 HG01086 2
HG01088 0 0 1
HG01089 0 0 2
HG01092 0 0 2
HG01094 0 0 1
HG01095 0 0 2
HG01096 HG01094 HG01095 1
HG01097 0 0 1
HG01098 0 0 2
HG01099 HG01097 HG01098 1
HG01100 HG01247 HG01248 2
HG01101 0 0 1
HG01102 0 0 2
HG01103 HG01101 HG01102 2
HG01104 0 0 1
HG01105 0 0 2
HG01106 HG01104 HG01105 1
HG01107 0 0 1
HG01108 0 0 2
HG01109 HG01107 HG01108 1
HG01110 0 0 1
HG01111 0 0 2
HG01112 0 0 1
HG01113 0 0 2
HG01114 HG01112 HG01113 2
HG01119 0 0 2
HG01121 0 0 1
HG01122 0 0 2
HG01124 0 0 1
HG01125 0 0 2
HG01126 HG01124 HG01125 1
HG01130 0 0 1
HG01131 0 0 2
HG01133 0 0 1
HG01134 0 0 2
HG01135 HG01133 HG01134 1
HG01136 0 0 1
HG01137 0 0 2
HG01138 HG01136 HG01137 1
HG01139 0 0 1
HG01140 0 0 2
HG01141 HG01139 HG01140 2
HG01142 0 0 1
HG01148 0 0 1
HG01149 0 0 2
HG01150 HG01148 HG01149 2
HG01161 0 0 1
HG01162 0 0 2
HG01164 0 0 1
HG01167 0 0 1
HG01168 0 0 2
HG01169 HG01167 HG01168 2
HG01170 0 0 1
HG01171 0 0 2
HG01172 HG01170 HG01171 1
HG01173 0 0 1
HG01174 0 0 2
HG01175 HG01173 HG01174 2
HG01176 0 0 1
HG01177 0 0 2
HG01178 HG01176 HG01177 1
HG01182 0 0 1
HG01183 0 0 2
HG01184 HG01182 HG01183 2
HG01187 0 0 1
HG01188 0 0 2
HG01189 HG01187 HG01188 1
HG01190 0 0 1
HG01191 0 0 2
HG01192 HG01190 HG01191 1
HG01197 0 0 1
HG01198 0 0 2
HG01199 HG01197 HG01198 1
HG01200 0 0 1
HG01204 0 0 1
HG01205 0 0 2
HG01206 HG01204 HG01205 1
HG01241 0 0 1
HG01242 0 0 2
HG01243 HG01241 HG01242 1
HG01247 0 0 1
HG01248 0 0 2
HG01249 HG01110 HG01111 2
HG01250 0 0 1
HG01251 0 0 2
HG01252 HG01250 HG01251 1
HG01253 0 0 1
HG01254 0 0 2
HG01255 HG01253 HG01254 1
HG01256 0 0 1
HG01257 0 0 2
HG01258 HG01256 HG01257 1
HG01259 0 0 1
HG01260 0 0 2
HG01261 HG01259 HG01260 1
HG01269 0 0 2
HG01271 0 0 1
HG01272 0 0 2
HG01273 HG01271 HG01272 1
HG01274 0 0 1
HG01275 0 0 2
HG01276 HG01274 HG01275 2
HG01277 0 0 1
HG01278 0 0 2
HG01279 HG01277 HG01278 2
HG01280 0 0 1
HG01281 0 0 2
HG01284 0 0 2
HG01286 0 0 1
HG01302 0 0 1
HG01303 0 0 2
HG01305 0 0 1
HG01308 0 0 1
HG01311 0 0 1
HG01312 0 0 2
HG01323 0 0 2
HG01325 0 0 1
HG01326 0 0 2
HG01334 0 0 1
HG01341 0 0 1
HG01342 0 0 2
HG01343 HG01341 HG01342 2
HG01344 0 0 1
HG01345 0 0 2
HG01346 HG01344 HG01345 2
HG01347 0 0 1
HG01348 0 0 2
HG01349 HG01347 HG01348 2
HG01350 0 0 1
HG01351 0 0 2
HG01352 HG01350 HG01351 2
HG01353 0 0 1
HG01354 0 0 2
HG01355 HG01353 HG01354 2
HG01356 0 0 1
HG01357 0 0 2
HG01358 HG01356 HG01357 1
HG01359 0 0 1
HG01360 0 0 2
HG01361 HG01359 HG01360 2
HG01362 0 0 1
HG01363 0 0 2
HG01365 0 0 1
HG01366 0 0 2
HG01367 HG01365 HG01366 2
HG01369 0 0 2
HG01372 0 0 2
HG01374 0 0 1
HG01375 0 0 2
HG01376 HG01374 HG01375 2
HG01377 0 0 1
HG01378 0 0 2
HG01379 HG01377 HG01378 2
HG01383 0 0 1
HG01384 0 0 2
HG01385 HG01383 HG01384 2
HG01389 0 0 1
HG01390 0 0 2
HG01391 HG01389 HG01390 2
HG01392 0 0 1
HG01393 0 0 2
HG01395 0 0 1
HG01396 0 0 2
HG01398 0 0 1
HG01402 0 0 1
HG01403 0 0 2
HG01405 0 0 1
HG01412 0 0 1
HG01413 0 0 1
HG01414 0 0 2
HG01431 0 0 1
HG01432 0 0 2
HG01433 HG01431 HG01432 1
HG01435 0 0 2
HG01437 0 0 1
HG01438 0 0 2
HG01439 HG01437 HG01438 2
HG01440 0 0 1
HG01441 0 0 2
HG01443 0 0 1
HG01444 0 0 2
HG01447 0 0 2
HG01455 0 0 1
HG01456 0 0 2
HG01457 HG01455 HG01456 1
HG01459 0 0 2
HG01461 0 0 1
HG01462 0 0 2
HG01463 HG01461 HG01462 2
HG01464 0 0 1
HG01465 0 0 2
HG01466 HG01464 HG01465 2
HG01468 0 0 2
HG01474 0 0 2
HG01479 0 0 1
HG01485 0 0 1
HG01486 0 0 2
HG01488 0 0 1
HG01489 0 0 2
HG01490 HG01488 HG01489 2
HG01491 0 0 1
HG01492 0 0 2
HG01493 HG01491 HG01492 2
HG01494 0 0 1
HG01495 0 0 2
HG01496 HG01494 HG01495 2
HG01497 0 0 1
HG01498 0 0 2
HG01499 HG01497 HG01498 1
HG01500 0 0 1
HG01501 0 0 2
HG01502 HG01500 HG01501 1
HG01503 0 0 1
HG01504 0 0 2
HG01505 HG01503 HG01504 1
HG01506 0 0 1
HG01507 0 0 2
HG01508 HG01506 HG01507 1
HG01509 0 0 1
HG01510 0 0 2
HG01511 HG01509 HG01510 2
HG01512 0 0 1
HG01513 0 0 2
HG01514 HG01512 HG01513 2
HG01515 0 0 1
HG01516 0 0 2
HG01517 HG01515 HG01516 2
HG01518 0 0 1
HG01519 0 0 2
HG01520 HG01518 HG01519 2
HG01521 0 0 1
HG01522 0 0 2
HG01523 HG01521 HG01522 1
HG01524 0 0 1
HG01525 0 0 2
HG01526 HG01524 HG01525 1
HG01527 0 0 1
HG01528 0 0 2
HG01529 HG01527 HG01528 1
HG01530 0 0 1
HG01531 0 0 2
HG01532 HG01530 HG01531 1
HG01536 0 0 1
HG01537 0 0 2
HG01538 HG01536 HG01537 2
HG01550 0 0 1
HG01551 0 0 2
HG01552 HG01550 HG01551 1
HG01556 0 0 1
HG01565 0 0 1
HG01566 0 0 2
HG01567 HG01565 HG01566 2
HG01571 0 0 1
HG01572 0 0 2
HG01573 HG01571 HG01572 2
HG01577 0 0 1
HG01578 0 0 2
HG01579 HG01577 HG01578 1
HG01583 0 0 1
HG01586 0 0 1
HG01589 0 0 1
HG01593 0 0 2
HG01595 0 0 2
HG01596 0 0 1
HG01597 0 0 2
HG01598 0 0 2
HG01599 0 0 2
HG01600 0 0 2
HG01601 HG01603 HG01602 1
HG01602 0 0 2
HG01603 0 0 1
HG01604 HG01606 HG01605 2
HG01605 0 0 2
HG01606 0 0 1
HG01607 0 0 2
HG01608 0 0 1
HG01609 HG01608 HG01607 1
HG01610 0 0 1
HG01611 HG01610 HG01612 1
HG01612 0 0 2
HG01613 0 0 2
HG01614 HG01615 HG01613 2
HG01615 0 0 1
HG01616 HG01617 HG01618 2
HG01617 0 0 1
HG01618 0 0 2
HG01619 0 0 1
HG01620 0 0 2
HG01621 HG01619 HG01620 1
HG01622 HG01624 HG01623 2
HG01623 0 0 2
HG01624 0 0 1
HG01625 0 0 1
HG01626 0 0 2
HG01627 HG01625 HG01626 1
HG01628 0 0 2
HG01629 HG01630 HG01628 1
HG01630 0 0 1
HG01631 0 0 1
HG01632 0 0 2
HG01633 HG01631 HG01632 1
HG01667 HG01669 HG01668 1
HG01668 0 0 2
HG01669 0 0 1
HG01670 0 0 2
HG01671 HG01672 HG01670 1
HG01672 0 0 1
HG01673 0 0 2
HG01674 HG01675 HG01673 1
HG01675 0 0 1
HG01676 0 0 2
HG01677 HG01678 HG01676 2
HG01678 0 0 1
HG01679 0 0 2
HG01680 0 0 1
HG01681 HG01680 HG01679 2
HG01682 0 0 1
HG01683 HG01682 HG01684 1
HG01684 0 0 2
HG01685 0 0 2
HG01686 0 0 1
HG01687 HG01686 HG01685 2
HG01694 0 0 1
HG01695 0 0 2
HG01696 HG01694 HG01695 1
HG01697 0 0 2
HG01698 HG01699 HG01697 1
HG01699 0 0 1
HG01700 0 0 1
HG01701 HG01700 HG01702 1
HG01702 0 0 2
HG01703 HG01705 HG01704 1
HG01704 0 0 2
HG01705 0 0 1
HG01706 HG01708 HG01707 2
HG01707 0 0 2
HG01708 0 0 1
HG01709 0 0 1
HG01710 0 0 2
HG01711 HG01709 HG01710 2
HG01746 0 0 2
HG01747 0 0 1
HG01748 HG01747 HG01746 1
HG01755 HG01756 HG01757 2
HG01756 0 0 1
HG01757 0 0 2
HG01761 0 0 1
HG01762 0 0 2
HG01763 HG01761 HG01762 2
HG01765 0 0 1
HG01766 0 0 2
HG01767 0 0 1
HG01768 0 0 2
HG01770 0 0 2
HG01771 0 0 1
HG01772 HG01771 HG01770 2
HG01773 0 0 2
HG01774 HG01775 HG01773 1
HG01775 0 0 1
HG01776 0 0 2
HG01777 0 0 1
HG01778 HG01777 HG01776 1
HG01779 0 0 2
HG01780 HG01781 HG01779 1
HG01781 0 0 1
HG01782 HG01783 HG01784 2
HG01783 0 0 1
HG01784 0 0 2
HG01785 0 0 1
HG01786 0 0 2
HG01789 0 0 1
HG01790 0 0 2
HG01791 0 0 1
HG01794 0 0 2
HG01795 0 0 2
HG01796 0 0 2
HG01797 0 0 2
HG01798 0 0 2
HG01799 0 0 2
HG01800 0 0 2
HG01801 0 0 2
HG01802 0 0 2
HG01804 0 0 2
HG01805 0 0 2
HG01806 0 0 2
HG01807 0 0 2
HG01808 0 0 2
HG01809 0 0 2
HG01810 0 0 1
HG01811 0 0 1
HG01812 0 0 2
HG01813 0 0 2
HG01815 0 0 2
HG01816 0 0 1
HG01817 0 0 2
HG01840 0 0 1
HG01841 0 0 2
HG01842 0 0 1
HG01843 0 0 2
HG01844 0 0 1
HG01845 0 0 2
HG01846 0 0 1
HG01847 0 0 2
HG01848 0 0 2
HG01849 0 0 1
HG01850 0 0 2
HG01851 0 0 2
HG01852 0 0 1
HG01853 0 0 2
HG01855 0 0 2
HG01857 0 0 2
HG01858 0 0 2
HG01859 0 0 2
HG01860 0 0 1
HG01861 0 0 1
HG01862 0 0 2
HG01863 0 0 2
HG01864 0 0 1
HG01865 0 0 1
HG01866 0 0 1
HG01867 0 0 1
HG01868 0 0 2
HG01869 0 0 2
HG01870 0 0 2
HG01871 0 0 2
HG01872 0 0 1
HG01873 0 0 1
HG01874 0 0 2
HG01878 0 0 2
HG01879 0 0 1
HG01880 0 0 2
HG01881 HG01879 HG01880 2
HG01882 0 0 1
HG01883 0 0 2
HG01884 HG01885 HG01956 2
HG01885 0 0 1
HG01886 0 0 2
HG01887 HG02014 HG01886 1
HG01888 HG01882 HG01883 1
HG01889 0 0 2
HG01890 0 0 1
HG01891 HG01890 HG01889 2
HG01892 0 0 1
HG01893 0 0 2
HG01894 0 0 2
HG01895 HG01912 HG01894 1
HG01896 0 0 2
HG01897 HG02013 HG01896 1
HG01898 HG01892 HG01893 2
HG01912 0 0 1
HG01914 0 0 1
HG01915 0 0 2
HG01916 HG01914 HG01915 2
HG01917 0 0 1
HG01918 0 0 2
HG01919 HG01917 HG01918 2
HG01920 0 0 1
HG01921 0 0 2
HG01922 HG01920 HG01921 2
HG01923 0 0 1
HG01924 0 0 2
HG01925 HG01923 HG01924 2
HG01926 0 0 1
HG01927 0 0 2
HG01928 HG01926 HG01927 1
HG01932 0 0 1
HG01933 0 0 2
HG01934 HG01932 HG01933 1
HG01935 0 0 1
HG01936 0 0 2
HG01937 HG01935 HG01936 1
HG01938 0 0 1
HG01939 0 0 2
HG01940 HG01938 HG01939 2
HG01941 0 0 1
HG01942 0 0 2
HG01943 HG01941 HG01942 1
HG01944 0 0 1
HG01945 0 0 2
HG01946 HG01944 HG01945 1
HG01947 0 0 1
HG01948 0 0 2
HG01949 HG01947 HG01948 2
HG01950 0 0 1
HG01951 0 0 2
HG01952 HG01950 HG01951 1
HG01953 0 0 1
HG01954 0 0 2
HG01955 HG01953 HG01954 2
HG01956 0 0 2
HG01958 0 0 2
HG01959 HG01986 HG01958 2
HG01960 HG01988 HG01989 2
HG01961 0 0 1
HG01965 0 0 2
HG01967 0 0 1
HG01968 0 0 2
HG01969 HG01967 HG01968 2
HG01970 0 0 1
HG01971 0 0 2
HG01972 HG01970 HG01971 2
HG01973 0 0 2
HG01974 0 0 1
HG01975 HG01974 HG01973 2
HG01976 0 0 2
HG01977 0 0 1
HG01978 HG01977 HG01976 2
HG01979 0 0 1
HG01980 0 0 2
HG01981 HG01979 HG01980 2
HG01982 0 0 1
HG01983 0 0 2
HG01984 HG01982 HG01983 1
HG01985 0 0 2
HG01986 0 0 1
HG01987 HG01990 HG02012 1
HG01988 0 0 1
HG01989 0 0 2
HG01990 0 0 1
HG01991 0 0 1
HG01992 0 0 2
HG01993 HG01991 HG01992 2
HG01997 0 0 2
HG01998 HG02008 HG01997 1
HG02002 0 0 1
HG02003 0 0 2
HG02004 HG02002 HG02003 2
HG02006 0 0 2
HG02008 0 0 1
HG02009 0 0 1
HG02010 0 0 2
HG02011 HG02009 HG02010 1
HG02012 0 0 2
HG02013 0 0 1
HG02014 0 0 1
HG02015 HG02017 HG02016 1
HG02016 0 0 2
HG02017 0 0 1
HG02018 HG02020 HG02019 2
HG02019 0 0 2
HG02020 0 0 1
HG02023 0 0 1
HG02024 HG02026 HG02025 2
HG02025 0 0 2
HG02026 0 0 1
HG02027 HG02029 HG02028 1
HG02028 0 0 2
HG02029 0 0 1
HG02030 HG02032 HG02031 1
HG02031 0 0 2
HG02032 0 0 1
HG02035 0 0 1
HG02040 0 0 1
HG02047 0 0 1
HG02048 0 0 2
HG02049 0 0 2
HG02050 0 0 1
HG02051 0 0 1
HG02052 0 0 2
HG02053 0 0 1
HG02054 0 0 2
HG02055 HG02053 HG02054 1
HG02056 HG02058 HG02057 1
HG02057 0 0 2
HG02058 0 0 1
HG02059 HG02061 HG02060 2
HG02060 0 0 2
HG02061 0 0 1
HG02064 0 0 1
HG02067 0 0 1
HG02068 HG02070 HG02069 2
HG02069 0 0 2
HG02070 0 0 1
HG02071 HG02073 HG02072 1
HG02072 0 0 2
HG02073 0 0 1
HG02074 HG02076 HG02075 1
HG02075 0 0 2
HG02076 0 0 1
HG02077 HG02079 HG02078 1
HG02078 0 0 2
HG02079 0 0 1
HG02080 HG02082 HG02081 2
HG02081 0 0 2
HG02082 0 0 1
HG02083 HG02085 HG02084 1
HG02084 0 0 2
HG02085 0 0 1
HG02086 0 0 2
HG02087 0 0 2
HG02088 0 0 1
HG02089 0 0 2
HG02090 0 0 1
HG02091 HG02090 HG02089 2
HG02095 0 0 2
HG02102 0 0 2
HG02104 0 0 1
HG02105 0 0 2
HG02106 HG02104 HG02105 2
HG02107 0 0 1
HG02108 0 0 2
HG02111 0 0 2
HG02113 0 0 2
HG02116 0 0 1
HG02120 HG02122 HG02121 1
HG02121 0 0 2
HG02122 0 0 1
HG02126 HG02128 HG02127 2
HG02127 0 0 2
HG02128 0 0 1
HG02129 HG02131 HG02130 1
HG02130 0 0 2
HG02131 0 0 1
HG02132 HG02134 HG02133 1
HG02133 0 0 2
HG02134 0 0 1
HG02135 HG02137 HG02136 1
HG02136 0 0 2
HG02137 0 0 1
HG02138 0 0 1
HG02139 0 0 2
HG02140 0 0 2
HG02141 0 0 1
HG02142 0 0 2
HG02143 0 0 1
HG02144 0 0 2
HG02145 HG02143 HG02144 1
HG02146 0 0 1
HG02147 0 0 2
HG02148 HG02146 HG02147 2
HG02150 0 0 1
HG02151 0 0 2
HG02152 0 0 2
HG02153 0 0 2
HG02154 0 0 2
HG02155 0 0 2
HG02156 0 0 2
HG02164 0 0 2
HG02165 0 0 2
HG02166 0 0 2
HG02178 0 0 2
HG02179 0 0 2
HG02180 0 0 2
HG02181 0 0 2
HG02182 0 0 2
HG02184 0 0 2
HG02185 0 0 2
HG02186 0 0 2
HG02187 0 0 2
HG02188 0 0 2
HG02190 0 0 2
HG02215 0 0 2
HG02219 0 0 1
HG02220 0 0 2
HG02221 0 0 1
HG02222 HG02221 HG02220 2
HG02223 0 0 2
HG02224 0 0 1
HG02225 HG02224 HG02223 2
HG02229 HG02231 HG02230 2
HG02230 0 0 2
HG02231 0 0 1
HG02232 0 0 2
HG02233 0 0 1
HG02234 HG02233 HG02232 1
HG02235 0 0 2
HG02236 0 0 1
HG02237 HG02236 HG02235 2
HG02238 0 0 1
HG02239 0 0 2
HG02240 HG02238 HG02239 2
HG02250 0 0 1
HG02252 0 0 2
HG02253 0 0 1
HG02255 0 0 1
HG02256 0 0 2
HG02257 HG02255 HG02256 2
HG02258 HG02314 HG02315 1
HG02259 0 0 1
HG02260 0 0 2
HG02261 HG02259 HG02260 1
HG02262 0 0 1
HG02265 0 0 1
HG02266 0 0 2
HG02271 0 0 1
HG02272 0 0 2
HG02273 HG02271 HG02272 2
HG02274 0 0 1
HG02275 0 0 2
HG02277 0 0 1
HG02278 0 0 2
HG02279 HG02277 HG02278 1
HG02280 HG02307 HG02308 2
HG02281 0 0 1
HG02282 0 0 2
HG02283 0 0 1
HG02284 0 0 1
HG02285 0 0 1
HG02286 0 0 2
HG02287 HG02285 HG02286 2
HG02291 0 0 1
HG02292 0 0 2
HG02293 HG02291 HG02292 2
HG02298 0 0 2
HG02299 0 0 1
HG02300 HG02299 HG02298 2
HG02301 0 0 2
HG02302 0 0 1
HG02303 HG02302 HG02301 2
HG02304 0 0 1
HG02307 0 0 1
HG02308 0 0 2
HG02309 0 0 2
HG02312 0 0 2
HG02314 0 0 1
HG02315 0 0 2
